prediction,regime,surprise,tick,vector
"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]",stable,0.0,0,"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]"
"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]",stable,0.14274424147082135,1,"[0.23335910270998828, 0.4105541519533553, 0.6622910181440346, 0.3192502119930357]"
"[0.2364885476874577, 0.4302954188514092, 0.7236338937937989, 0.3497710275240856]",stable,0.28372351826465314,2,"[0.16358384245457763, 0.4113078594715108, 0.45062334939953164, 0.33278120675633016]"
"[0.21218697927649766, 0.42396623239144304, 0.6326303789957098, 0.34410775393483384]",stable,0.21452943448855943,3,"[0.2373565197613326, 0.6114948119031478, 0.5341542498956388, 0.3670174976599767]"
"[0.21847936439770638, 0.47084837726936923, 0.6080113467206921, 0.34983518986611956]",stable,0.18981888961844495,4,"[0.31687897376468177, 0.5299276121730386, 0.5123425289987713, 0.46690717221583883]"
"[0.23815928627110144, 0.48266422425010314, 0.588877583176308, 0.3732495863360634]",stable,0.2850165793842099,5,"[0.29415093949755405, 0.584099636102466, 0.6790360303414991, 0.6175479631623274]"
"[0.24749122847551022, 0.49957012622549696, 0.6039039910371732, 0.4139659824737741]",stable,0.23266112751880727,6,"[0.4095399296650919, 0.5559166990627935, 0.7078222470690351, 0.5318535496463984]"
"[0.27064104293116475, 0.5076196366308251, 0.618749456184582, 0.43080706349843473]",stable,0.24396684278241174,7,"[0.3891057598714846, 0.6271462830105837, 0.7482548482201296, 0.550922280920688]"
"[0.28544913254870474, 0.522560467428295, 0.6349376301890255, 0.4458214656762164]",stable,0.2683697229938346,8,"[0.47806191181338176, 0.4930798304022793, 0.7942240639868431, 0.538995225567283]"
"[0.30685055246700216, 0.519284841092071, 0.6526361228332275, 0.45617410566411265]",stable,0.35278774605610963,9,"[0.5251160411111753, 0.5093572511808513, 0.8377220578570393, 0.6622420795202807]"
"[0.5251160411111753, 0.5093572511808513, 0.8377220578570393, 0.6622420795202807]",stable,0.1150179875767778,10,"[0.4599911623188808, 0.5220058076172006, 0.8732242930931581, 0.5752507412053856]"
"[0.49255360171502804, 0.515681529399026, 0.8554731754750987, 0.6187464103628331]",stable,0.17180528027705314,11,"[0.449922229001672, 0.6531415328385377, 0.9326738962023042, 0.6720794823281826]"
"[0.4783431441439094, 0.5615015305455299, 0.8812067490508338, 0.6365241010179495]",stable,0.18895939506341153,12,"[0.5969019455220328, 0.6441816589516527, 0.8569497906996348, 0.5172552453312769]"
"[0.5079828444884402, 0.5821715626470605, 0.8751425094630341, 0.6067068870962813]",stable,0.10029335311831743,13,"[0.5212439758404249, 0.5803441561072776, 0.7768136173123701, 0.6212323347225119]"
"[0.5106350707588372, 0.5818060813391039, 0.8554767310329012, 0.6096119766215274]",stable,0.241152792881559,14,"[0.319191666789902, 0.5639143232299734, 0.7323448869975759, 0.532007037554559]"
"[0.3080846638992921, 0.5237477893058612, 0.6606069992496624, 0.46375739885315725]",stable,0.1686572706959894,15,"[0.2254376483677746, 0.6176377063045404, 0.5492198392116536, 0.4835647168695244]"
"[0.30057129885097233, 0.5322832363057411, 0.6504808937916615, 0.46555806412737244]",stable,0.21026090583253196,16,"[0.30870005708315, 0.6520287462279681, 0.47824705080232915, 0.47739394152245895]"
"[0.3012486953703205, 0.54226202879926, 0.6361280735425505, 0.4665443872436297]",stable,0.3688586397258105,17,"[0.11430326188523454, 0.6890709323841493, 0.39088892940002784, 0.3272138126812091]"
"[0.11430326188523454, 0.6890709323841493, 0.39088892940002784, 0.3272138126812091]",stable,0.16285580156286003,18,"[0.18307780749690494, 0.6358059071150912, 0.2861509716897808, 0.23785570573862092]"
"[0.14869053469106974, 0.6624384197496203, 0.33851995054490436, 0.282534759209915]",stable,0.1210893483546945,19,"[0.23155836859255177, 0.6961787770440905, 0.35961216184010975, 0.3613526461503858]"
"[0.17631314599156375, 0.6736852055144437, 0.34555068764330615, 0.3088073881900719]",stable,0.13405931620643863,20,"[0.18775099276852716, 0.5714233573790546, 0.3781406601634648, 0.3883151490056963]"
"[0.1791726076858046, 0.6481197434805964, 0.3536981807733458, 0.328684328393978]",stable,0.09544875031724054,21,"[0.2183757446390378, 0.6986669158601866, 0.3165852213598336, 0.3890265988032687]"
"[0.18701323507645123, 0.6582291779565145, 0.34627558889064336, 0.3407527824758361]",stable,0.07434364403984882,22,"[0.13771860442687678, 0.6557978553433274, 0.38702503396967447, 0.37857589967084554]"
"[0.17879746330152216, 0.6578239575209833, 0.35306716307048186, 0.347056635341671]",stable,0.07470384736632349,23,"[0.1841216575774512, 0.6872366013433011, 0.3421507436998525, 0.4146439561803397]"
"[0.17955806248379774, 0.6620257637813144, 0.3515076745889634, 0.35671196689005225]",stable,0.1417027750458498,24,"[0.2678450782640577, 0.673357382962718, 0.4077772224892966, 0.4515297483771267]"
"[0.19059393945633024, 0.6634422161789898, 0.35854136807650505, 0.36856418957593656]",stable,0.40084510210856084,25,"[0.5317182466634353, 0.6839577354373317, 0.35564567018178145, 0.5780438576111859]"
"[0.5317182466634353, 0.6839577354373317, 0.35564567018178145, 0.5780438576111859]",stable,0.11186971947421422,26,"[0.5980523124162913, 0.6020183557691355, 0.38903987900989206, 0.5611503460676706]"
"[0.5648852795398633, 0.6429880456032336, 0.37234277459583676, 0.5695971018394282]",stable,0.1846648767718369,27,"[0.7421877713165298, 0.6453412333179683, 0.38086091375088005, 0.6204581570374614]"
"[0.6239861101320855, 0.6437724415081453, 0.3751821543141845, 0.5865507869054393]",stable,0.27581772460674314,28,"[0.8720281796757781, 0.6153084389500549, 0.4749373996434829, 0.6481075942575728]"
"[0.6859966275180086, 0.6366564408686226, 0.4001209656465091, 0.6019399887434727]",stable,0.22336106493580105,29,"[0.8612749958805185, 0.7576158448922848, 0.39201870111251114, 0.6688042901388584]"
"[0.7210523011905106, 0.660848321673355, 0.39850051273970954, 0.6153128490225498]",stable,0.1246169828376642,30,"[0.8014774551711069, 0.6075056902520714, 0.4016101466101712, 0.6940915318561998]"
"[0.7344564935206099, 0.6519578831031411, 0.3990187850514532, 0.6284426294948248]",stable,0.19302753218342636,31,"[0.9062391061198051, 0.6992199318627128, 0.37927888517693886, 0.7000456831267095]"
"[0.7589968667490663, 0.6587096043545084, 0.39619879935509406, 0.6386716371565225]",stable,0.056343391270009625,32,"[0.7803726130972947, 0.6291293618690309, 0.3681318808944993, 0.6061922198204884]"
"[0.7616688350425949, 0.6550120740438237, 0.3926904345475197, 0.6346117099895182]",stable,0.08622626372774186,33,"[0.8104325851196797, 0.648465285685182, 0.40587350223733776, 0.7041847760664026]"
"[0.7670870294956043, 0.6542846531150857, 0.39415521984638835, 0.6423420506647276]",stable,0.1794520081117953,34,"[0.7558557291194412, 0.608695049773797, 0.5607748637517983, 0.5950518461902851]"
"[0.7659638994579879, 0.6497256927809568, 0.4108171842369293, 0.6376130302172833]",stable,0.2551356484100206,35,"[0.6860012139439702, 0.5133019819005217, 0.6102610771831687, 0.6552446124221901]"
"[0.7586945644112592, 0.6373235372463718, 0.42894844723204195, 0.6392159013268203]",stable,0.30054964809485074,36,"[0.7775953270110745, 0.5922402897468652, 0.7147443649428102, 0.5600891273635022]"
"[0.7602696279612436, 0.6335665999547463, 0.4527647737079394, 0.6326220034965438]",stable,0.3566516796472205,37,"[0.6531920251588084, 0.4835537337688462, 0.75386695381036, 0.6833016314502712]"
"[0.5343945631588324, 0.5654306900773943, 0.8385417681624777, 0.6218935857596514]",stable,0.1684273278956994,38,"[0.6175708086436587, 0.43965077871214986, 0.7694467725078787, 0.592657094151123]"
"[0.5462768839423789, 0.5474621313109308, 0.828671054497535, 0.6177169441012902]",stable,0.2380141565160505,39,"[0.6137718461679881, 0.38328555752444016, 0.8507705612463797, 0.46070473694083613]"
"[0.5547137542205801, 0.5269400595876195, 0.8314334928411405, 0.5980904182062334]",stable,0.4022458914589247,40,"[0.4249448072987, 0.5205614805808464, 0.4947079344383434, 0.42050384872940033]"
"[0.3107637809032728, 0.540592755859382, 0.6252496013037654, 0.46300280735791977]",stable,0.15600774933668735,41,"[0.30060481392782756, 0.571455384652688, 0.512337007447097, 0.3603701734853735]"
"[0.3100381404050267, 0.5427972293446182, 0.6171844160282891, 0.45567190493845217]",stable,0.26321060784228456,42,"[0.1938424795471358, 0.44388546642702265, 0.4425996874808559, 0.331112568905157]"
"[0.19095488835530863, 0.6390470217621045, 0.3678811813436551, 0.3644028983902944]",stable,0.17674905098136734,43,"[0.26817419030136025, 0.5083072365721094, 0.32487393280318344, 0.44399493047410626]"
"[0.1986768185499138, 0.625973043243105, 0.36358045648960796, 0.37236210159867555]",stable,0.1417111037562886,44,"[0.275585990403339, 0.5158364858460962, 0.34980948047372046, 0.41534250593543276]"
"[0.20566856144567972, 0.615960628934286, 0.36232854957907273, 0.3762694110838353]",stable,0.2340509675056424,45,"[0.3431020614520742, 0.44246262652095464, 0.40353619862944606, 0.31229862646581974]"
"[0.21712135311287925, 0.6015024620665085, 0.36576252033327045, 0.3709385123656674]",stable,0.24608891675338984,46,"[0.3244342227343213, 0.385803875615416, 0.4139819811316849, 0.38482038420555176]"
"[0.22537618923760555, 0.5849102631087321, 0.36947170962545617, 0.37200634866104304]",stable,0.28456055232553235,47,"[0.2620953800633242, 0.4048442326097682, 0.5830789899664115, 0.3323255798856874]"
"[0.30684195638224654, 0.5336003628956282, 0.6149107209574972, 0.44744881660160113]",stable,0.14321436225685352,48,"[0.36548783421063663, 0.4105269602380738, 0.6062756422503286, 0.40444431050761953]"
"[0.3105073237465209, 0.525908275229531, 0.6143710285382993, 0.4447610349707273]",stable,0.2002119119560021,49,"[0.31392446142041897, 0.3658833279062031, 0.7020939773672227, 0.3624820380023649]"
"[0.31070833184498553, 0.5164950430340411, 0.6195312019988242, 0.43992109397258833]",stable,0.29470487488796937,50,"[0.24820046890779002, 0.25073897400361106, 0.7299112880070132, 0.42835914171198325]"
"[0.3072356727929191, 0.501730816976795, 0.6256634289992792, 0.43927876329144355]",stable,0.29816486801195985,51,"[0.23809778870056178, 0.3861922588929606, 0.8811935800209534, 0.3652691354409402]"
"[0.30359683678805816, 0.4956498402355405, 0.6391123843162094, 0.4353835197203645]",stable,0.3049298039565806,52,"[0.3535829427552279, 0.34638726480022136, 0.8956933364837139, 0.3866960150557175]"
"[0.30609614208641667, 0.4881867114637745, 0.6519414319245846, 0.4329491444871321]",stable,0.300275377384533,53,"[0.32852768979296076, 0.3071064900517362, 0.8601506409491675, 0.31666928113307796]"
"[0.3071643110248235, 0.47956384377748695, 0.6618561561638506, 0.4274120081369391]",stable,0.37181133595905724,54,"[0.2411665494106689, 0.3082118104509837, 0.9051489832606652, 0.21449172735633196]"
"[0.2411665494106689, 0.3082118104509837, 0.9051489832606652, 0.21449172735633196]",stable,0.2592541344628832,55,"[0.37723848749522143, 0.2373124857456061, 0.8860550772023494, 0.42259228576444885]"
"[0.30920251845294516, 0.2727621480982949, 0.8956020302315073, 0.3185420065603904]",stable,0.14607700312154817,56,"[0.2647637045667498, 0.25031995384138805, 0.7753595150817456, 0.38488782880079575]"
"[0.29438958049088004, 0.265281416679326, 0.8555211918482534, 0.34065728064052553]",stable,0.2939741216349164,57,"[0.534482377606251, 0.31464733230855385, 0.8263380373649036, 0.5003055904744441]"
"[0.5524658234856547, 0.5033519787788344, 0.8308673311215586, 0.5872254373471457]",stable,0.232739477950522,58,"[0.5984516255101631, 0.3843640232503213, 0.6462062496133731, 0.5256208756311811]"
"[0.5570644036881054, 0.4914531832259831, 0.81240122297074, 0.5810649811755492]",stable,0.24991918649344533,59,"[0.5952675570024101, 0.3467250213743911, 0.6660826828030267, 0.44451915434573386]"
"[0.5605374176257695, 0.4782960776031111, 0.7990995375009479, 0.5686517241910205]",stable,0.2527023254078957,60,"[0.5776215539131729, 0.2992847123103563, 0.6937687810952078, 0.42572880648749056]"
"[0.5619610956497197, 0.4633784638287149, 0.7903219744671363, 0.5567414810490596]",stable,0.06804150254375746,61,"[0.5435763978447804, 0.4641771580283854, 0.7267098901586956, 0.5723784172113793]"
"[0.5605468881262629, 0.4634399018440742, 0.7854287372126407, 0.557944322292315]",stable,0.05453836255286221,62,"[0.5339764250487241, 0.5059183145545727, 0.7949460912437762, 0.5386195219664338]"
"[0.5586489979064387, 0.4664740741805384, 0.7861085482148648, 0.556563979411895]",stable,0.1306643848099437,63,"[0.5481927076746357, 0.5783233522559675, 0.7712180645859753, 0.6216167268070084]"
"[0.5579519118909853, 0.4739306927189003, 0.7851158493062721, 0.5609008292382358]",stable,0.10253448768855063,64,"[0.5098307500738349, 0.48407333437849004, 0.8599530879748879, 0.6108426902322253]"
"[0.5549443392774134, 0.47456460782262466, 0.7897931767230606, 0.5640221955503602]",stable,0.20101526781160783,65,"[0.5425659741420206, 0.619842623616846, 0.9201499324182798, 0.6104477094565975]"
"[0.5542162001518021, 0.48311037345757885, 0.7974612211757206, 0.56675310813308]",stable,0.21485447191661172,66,"[0.4110248064603227, 0.479895496207763, 0.9512308059804122, 0.5219954470176996]"
"[0.5462611227244977, 0.48293176916592245, 0.8060039758870923, 0.5642665714044477]",stable,0.20794115606290925,67,"[0.41193274156519827, 0.5947106499941313, 0.9003836946639345, 0.5026763052554983]"
"[0.5391912079266398, 0.48881486815688074, 0.8109713295069261, 0.5610249784492398]",stable,0.22484235878193054,68,"[0.3699686332150941, 0.4332524121574269, 0.9461270797717671, 0.5372859143507038]"
"[0.5307300791910625, 0.4860367453569081, 0.817729117020168, 0.559838025244313]",stable,0.0803991123180752,69,"[0.5656119480546707, 0.5374628122801621, 0.7747039137496862, 0.587250869140108]"
"[0.5323911205655201, 0.4884856056865869, 0.8156802978168118, 0.5611433987631604]",stable,0.10414889257134885,70,"[0.5019265560988841, 0.43945733919580093, 0.8722716040362851, 0.4954733501795114]"
"[0.5310063676352184, 0.4862570481188239, 0.818252629917697, 0.5581583965548127]",stable,0.12764218819918433,71,"[0.45484135257051744, 0.4357779445848323, 0.8984505741257428, 0.5192795007413048]"
"[0.5276948452411009, 0.4840623044869112, 0.8217394970571772, 0.5564680097803124]",stable,0.13305554814274076,72,"[0.6140018710201187, 0.46154181323147075, 0.8137317951472522, 0.4580628250770633]"
"[0.5312909713152266, 0.4831239506846012, 0.8214058428109303, 0.5523677937510103]",stable,0.09774028894883063,73,"[0.4580183428720777, 0.4789502286970359, 0.8569842565534097, 0.4985064669462182]"
"[0.5283600661775006, 0.48295700180509854, 0.8228289793606295, 0.5502133406788186]",stable,0.16346021466422384,74,"[0.4384209903462282, 0.6178076959926005, 0.8216648443614305, 0.5712879577226277]"
"[0.524900870953221, 0.48814356696615635, 0.8227842049375833, 0.5510239028728112]",stable,0.15169673540956352,75,"[0.43166883309605764, 0.5614436689797252, 0.9172719192873425, 0.5553659683580706]"
"[0.5214478325140669, 0.4908583855592515, 0.8262837499135003, 0.551184720113006]",stable,0.16460825703431467,76,"[0.48132540843141314, 0.5870731670732972, 0.7103200538072548, 0.6039218642638746]"
"[0.5200148887968293, 0.4942946277561817, 0.8221421893382772, 0.5530681895469656]",stable,0.2330396463081369,77,"[0.6019194071990139, 0.5532726974951596, 0.616772074411077, 0.5971570747832762]"
"[0.5228391825348357, 0.4963283542989051, 0.8150604612373393, 0.5545884959344246]",stable,0.4405113633391275,78,"[0.6735147138217231, 0.6250280568022558, 0.4548501717994702, 0.712803790583667]"
"[0.7535961730274343, 0.6329097889430162, 0.4529251889457494, 0.6387898332724764]",stable,0.09970312680525559,79,"[0.7187650976282621, 0.7231159523808395, 0.47328249477966583, 0.6520539901735073]"
"[0.7511082390703506, 0.6393530863314322, 0.45437928221960056, 0.6397372730511215]",stable,0.146169531779755,80,"[0.6073816598317793, 0.6431251250546423, 0.4778460695615594, 0.6517074049137771]"
"[0.7415264671211125, 0.6396045555796461, 0.4559437347090645, 0.6405352818419652]",stable,0.2167378696688619,81,"[0.5947147657333651, 0.7533106525917015, 0.37270560705079264, 0.5659432843458412]"
"[0.7323507357843783, 0.6467111866428996, 0.4507413517304225, 0.6358732819984575]",stable,0.34602715942464574,82,"[0.42248689774119164, 0.6860810340023091, 0.42138014602206236, 0.4899036562166424]"
"[0.23945552555929028, 0.5921367467439875, 0.3731794550823566, 0.38042758491501444]",stable,0.26167371991810995,83,"[0.3470081072945014, 0.6285339561260128, 0.5706895532507453, 0.5091543580765703]"
"[0.3089753926734452, 0.48633521252060175, 0.6577122196678004, 0.4311275694978314]",stable,0.2578659280022976,84,"[0.4870316328450728, 0.6257628674996231, 0.5983726041637824, 0.5398913098680305]"
"[0.5216455975451769, 0.5006428380722624, 0.8078375326682207, 0.5540985897322114]",stable,0.22103618567330838,85,"[0.46615813279048374, 0.6631716546466926, 0.6763156666914056, 0.5995355701005618]"
"[0.5198556793272835, 0.5058857031230505, 0.8035948918302589, 0.5555642987763518]",stable,0.0842593069461502,86,"[0.5163000382766596, 0.5610082735955362, 0.7431419516804567, 0.5754120310275426]"
"[0.5197445655444516, 0.5076082834503156, 0.8017057374505776, 0.5561845404092015]",stable,0.21913492595366044,87,"[0.48782351221039194, 0.6734002163406271, 0.6722611638361293, 0.5036650252074357]"
"[0.5187772608979648, 0.5126322814166887, 0.7977831746137761, 0.5545930399485419]",stable,0.2983898675295973,88,"[0.4028059137231857, 0.6033401590569605, 0.5419931448286865, 0.5106532939850305]"
"[0.31305498054517306, 0.49142238410913913, 0.6526809555443606, 0.43458520969292697]",stable,0.20810925623291537,89,"[0.2896028212719697, 0.5990437557261441, 0.48324017193013213, 0.3849171115341262]"
"[0.24279867860680227, 0.5925972140094646, 0.3805168362055416, 0.38072688668962196]",stable,0.08697917433354418,90,"[0.2830977826631466, 0.5340232477406831, 0.4301743912875954, 0.3874034635683406]"
"[0.24531737261032377, 0.5889363411176658, 0.38362043339817, 0.3811441727445419]",stable,0.09815696385068612,91,"[0.28738893133037235, 0.5825297958588047, 0.4691333322776746, 0.35853280829389045]"
"[0.24779217018209132, 0.5885594855142033, 0.3886506039204938, 0.3798140924827389]",stable,0.09761069754005774,92,"[0.16633488844754346, 0.5710136028438354, 0.38977940549512247, 0.3289866654870909]"
"[0.24326676564128308, 0.5875847142547385, 0.3887133151190843, 0.37699034653853625]",stable,0.155183574574293,93,"[0.2963579603099593, 0.6202611671648975, 0.3233675772078454, 0.5031864274141075]"
"[0.2460610390448976, 0.5893045275657995, 0.38527406575533485, 0.3836322455319873]",stable,0.2512033579280885,94,"[0.4346156676007298, 0.631781473966525, 0.3382714118561504, 0.5370491241191326]"
"[0.2554887704726892, 0.5914283748858358, 0.38292393306037564, 0.3913030894613446]",stable,0.4253844542236793,95,"[0.5961565343210135, 0.6053377915246739, 0.45480606380020216, 0.6353049254766288]"
"[0.7243393121688861, 0.6442774575182981, 0.4509804524404095, 0.6358398492618793]",stable,0.08369892742021535,96,"[0.7512548578811552, 0.7039628033192838, 0.47012470732899725, 0.587340149760926]"
"[0.7258346202640122, 0.6475933100627973, 0.4520440221564422, 0.6331454215118264]",stable,0.04148644472089752,97,"[0.7555897830448803, 0.6364002477077253, 0.47359740375607445, 0.6488273372175121]"
"[0.7274006814630054, 0.6470042015177935, 0.45317841066168596, 0.6339707854963361]",stable,0.11881915483961601,98,"[0.8324822064020642, 0.6734552951463273, 0.4065397878893235, 0.6481497553120324]"
"[0.7326547577099582, 0.6483267561992202, 0.4508464795230679, 0.6346797339871209]",stable,0.1751774069128616,99,"[0.8320857300388466, 0.7780254985018392, 0.3891944625809617, 0.6213429170304701]"
"[0.7373895659160957, 0.6545028867850592, 0.4479106691924914, 0.6340446474653756]",stable,0.14556744688193687,100,"[0.8423177436107665, 0.6478267981949569, 0.4803251613028252, 0.7293582858376847]"
"[0.7421590285385807, 0.6541994282127819, 0.44938405519750657, 0.6383770855732078]",stable,0.2334382462504567,101,"[0.8317714343205651, 0.779680590540479, 0.35645182889569693, 0.786974228069062]"
"[0.7460552200943191, 0.6596551309226818, 0.445343523619167, 0.6448378308991145]",stable,0.3149447946203138,102,"[1.0, 0.7510248328000364, 0.4861597253822661, 0.8019616281723609]"
"[0.7566362525903892, 0.6634622018342382, 0.4470441986926295, 0.6513846557854998]",stable,0.12511237287392984,103,"[0.7954463162537261, 0.774007825678073, 0.40361237055445465, 0.6450422462949026]"
"[0.7581886551369227, 0.6678840267879916, 0.44530692556710255, 0.6511309594058758]",stable,0.3107670173407712,104,"[1.0, 0.721206535481359, 0.48154919292987514, 0.8353770467060955]"
"[0.7674890914778103, 0.6699348925069673, 0.44670085892720923, 0.6582173473789612]",stable,0.19062913481192378,105,"[0.925046776793068, 0.6430422191788817, 0.39983362036609604, 0.7509281283494903]"
"[0.7733245613043013, 0.6689388675688899, 0.4449650352767976, 0.6616510800074993]",stable,0.23328328696014383,106,"[0.8847608709849232, 0.7019568158151054, 0.4591638456508157, 0.8634213695381094]"
"[0.7773044295071807, 0.6701180800062547, 0.44547213564729826, 0.6688571617764497]",stable,0.2517033311314711,107,"[0.9824132554689531, 0.7290611714506263, 0.46151841679640515, 0.8013455206897014]"
"[0.7843771476437935, 0.6721506004008883, 0.44602545568692264, 0.6734257258769066]",stable,0.21847067571063467,108,"[0.9103685493467094, 0.6786691031092449, 0.3077265298899208, 0.7860601748178603]"
"[0.7885768610338907, 0.6723678838245003, 0.44141549149368925, 0.6771802075082717]",stable,0.2183657537242269,109,"[0.9560383416061491, 0.7768035390214237, 0.37210754055055223, 0.7398687773097106]"
"[0.7939788442781571, 0.6757367759276268, 0.4391797511406848, 0.6792024194373503]",stable,0.20489298629165362,110,"[0.9688183721437794, 0.7566726002196059, 0.3783823989418096, 0.7133396372358449]"
"[0.7994425795239578, 0.6782660204367511, 0.43727983388446995, 0.6802692074935532]",stable,0.18646490489945655,111,"[0.8155017816163551, 0.547609273991394, 0.5402109589010181, 0.5975331156202944]"
"[0.7999292220116062, 0.6743067250899221, 0.4403989588849714, 0.6777620531943636]",stable,0.2435632730618186,112,"[0.5931234562351742, 0.5810656746300445, 0.5290253754736762, 0.6753314117165945]"
"[0.79384669948877, 0.6715643412528669, 0.4430056181964039, 0.677690563739135]",stable,0.22972906503165083,113,"[0.6744409896562316, 0.5311659736075325, 0.5349875840732452, 0.5759785384143918]"
"[0.7904351077792688, 0.6675529593201431, 0.44563367436431367, 0.6747845058727139]",stable,0.49897823707346517,114,"[0.5569784358370888, 0.4446170084819262, 0.7810784914514892, 0.49519163320835663]"
"[0.5199008248667626, 0.5106318322127251, 0.7972918604031206, 0.5528459397503012]",stable,0.1089351664701497,115,"[0.5088373819911657, 0.5024000740153295, 0.6963582005625036, 0.5914348655422413]"
"[0.5195847264988884, 0.510396639121371, 0.7944080415505316, 0.5539484804872138]",stable,0.11300607933954412,116,"[0.5745538732117401, 0.4814937772356278, 0.842404667538927, 0.6352486363659086]"
"[0.5211116472409122, 0.5095937818467671, 0.7957412811613203, 0.5562068181505109]",stable,0.09305681780580266,117,"[0.511064055967875, 0.6015465321535653, 0.7952451476170802, 0.5460548325184177]"
"[0.5208400907200192, 0.5120789913145185, 0.7957278721466111, 0.5559324401604543]",stable,0.11630250289732685,118,"[0.4287527065499372, 0.4887659016174766, 0.8309472738875958, 0.6130488077504826]"
"[0.518416738505017, 0.5114654889540701, 0.7966546985082159, 0.557435502465455]",stable,0.1253055081527965,119,"[0.48259932615054374, 0.5907894836985483, 0.8274001765360002, 0.6421763001031997]"
"[0.5174983433164407, 0.5134994375372618, 0.7974430440986718, 0.5596083434305255]",stable,0.21973049894755325,120,"[0.6374962975282301, 0.48385905845995325, 0.6405241292080398, 0.6511500564930743]"
"[0.5204982921717355, 0.512758428060329, 0.793520071226406, 0.5618968862570892]",stable,0.24552169653328496,121,"[0.7139914883754448, 0.6072040392873342, 0.675730798642344, 0.5687525609525693]"
"[0.5252176384206064, 0.5150619795536707, 0.7906471621389899, 0.5620640978350276]",stable,0.35215176468816783,122,"[0.6542441610072276, 0.6248352626440932, 0.4933750582347905, 0.6453836297715173]"
"[0.7866520259244899, 0.6663663566346973, 0.44695982391627137, 0.6739678148699029]",stable,0.21569791887705003,123,"[0.8716227219527519, 0.5386398792596054, 0.5751476202102757, 0.754957992564486]"
