prediction,regime,surprise,tick,vector
"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]",stable,0.0,0,"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]"
"[0.23961799266492712, 0.4500366857494631, 0.7849767694435633, 0.3802918430551355]",stable,0.14274424147082135,1,"[0.23335910270998828, 0.4105541519533553, 0.6622910181440346, 0.3192502119930357]"
"[0.2364885476874577, 0.4302954188514092, 0.7236338937937989, 0.3497710275240856]",stable,0.28372351826465314,2,"[0.16358384245457763, 0.4113078594715108, 0.45062334939953164, 0.33278120675633016]"
"[0.16358384245457763, 0.4113078594715108, 0.45062334939953164, 0.33278120675633016]",stable,0.23166087022499673,3,"[0.2373565197613326, 0.6114948119031478, 0.5341542498956388, 0.3670174976599767]"
"[0.2373565197613326, 0.6114948119031478, 0.5341542498956388, 0.3670174976599767]",stable,0.15307098684559786,4,"[0.31687897376468177, 0.5299276121730386, 0.5123425289987713, 0.46690717221583883]"
"[0.27711774676300716, 0.5707112120380933, 0.5232483894472051, 0.4169623349379078]",stable,0.25489951521973175,5,"[0.29415093949755405, 0.584099636102466, 0.6790360303414991, 0.6175479631623274]"
"[0.29415093949755405, 0.584099636102466, 0.6790360303414991, 0.6175479631623274]",stable,0.14926846878490446,6,"[0.4095399296650919, 0.5559166990627935, 0.7078222470690351, 0.5318535496463984]"
"[0.351845434581323, 0.5700081675826297, 0.6934291387052671, 0.5747007564043629]",stable,0.09068831454781072,7,"[0.3891057598714846, 0.6271462830105837, 0.7482548482201296, 0.550922280920688]"
"[0.36426554301137687, 0.5890542060586145, 0.7117043752102212, 0.5667745979098046]",stable,0.17245836279716978,8,"[0.47806191181338176, 0.4930798304022793, 0.7942240639868431, 0.538995225567283]"
"[0.3927146352118781, 0.5650606121445306, 0.7323342974043767, 0.5598297548241742]",stable,0.20549418728920033,9,"[0.5251160411111753, 0.5093572511808513, 0.8377220578570393, 0.6622420795202807]"
"[0.5251160411111753, 0.5093572511808513, 0.8377220578570393, 0.6622420795202807]",stable,0.1150179875767778,10,"[0.4599911623188808, 0.5220058076172006, 0.8732242930931581, 0.5752507412053856]"
"[0.49255360171502804, 0.515681529399026, 0.8554731754750987, 0.6187464103628331]",stable,0.17180528027705314,11,"[0.449922229001672, 0.6531415328385377, 0.9326738962023042, 0.6720794823281826]"
"[0.4783431441439094, 0.5615015305455299, 0.8812067490508338, 0.6365241010179495]",stable,0.18895939506341153,12,"[0.5969019455220328, 0.6441816589516527, 0.8569497906996348, 0.5172552453312769]"
"[0.5079828444884402, 0.5821715626470605, 0.8751425094630341, 0.6067068870962813]",stable,0.10029335311831743,13,"[0.5212439758404249, 0.5803441561072776, 0.7768136173123701, 0.6212323347225119]"
"[0.5106350707588372, 0.5818060813391039, 0.8554767310329012, 0.6096119766215274]",stable,0.241152792881559,14,"[0.319191666789902, 0.5639143232299734, 0.7323448869975759, 0.532007037554559]"
"[0.37801004152748285, 0.5648313543616192, 0.7323364153230166, 0.5542652113702512]",stable,0.2541595686363119,15,"[0.2254376483677746, 0.6176377063045404, 0.5492198392116536, 0.4835647168695244]"
"[0.2598910472979296, 0.5863533767935757, 0.5319055393686879, 0.4391631289151133]",stable,0.10505428127592756,16,"[0.30870005708315, 0.6520287462279681, 0.47824705080232915, 0.47739394152245895]"
"[0.2720932997442347, 0.6027722191521738, 0.5184909172270982, 0.4487208320669497]",stable,0.25177646238373036,17,"[0.11430326188523454, 0.6890709323841493, 0.39088892940002784, 0.3272138126812091]"
"[0.11430326188523454, 0.6890709323841493, 0.39088892940002784, 0.3272138126812091]",stable,0.16285580156286003,18,"[0.18307780749690494, 0.6358059071150912, 0.2861509716897808, 0.23785570573862092]"
"[0.14869053469106974, 0.6624384197496203, 0.33851995054490436, 0.282534759209915]",stable,0.1210893483546945,19,"[0.23155836859255177, 0.6961787770440905, 0.35961216184010975, 0.3613526461503858]"
"[0.17631314599156375, 0.6736852055144437, 0.34555068764330615, 0.3088073881900719]",stable,0.13405931620643863,20,"[0.18775099276852716, 0.5714233573790546, 0.3781406601634648, 0.3883151490056963]"
"[0.1791726076858046, 0.6481197434805964, 0.3536981807733458, 0.328684328393978]",stable,0.09544875031724054,21,"[0.2183757446390378, 0.6986669158601866, 0.3165852213598336, 0.3890265988032687]"
"[0.18701323507645123, 0.6582291779565145, 0.34627558889064336, 0.3407527824758361]",stable,0.07434364403984882,22,"[0.13771860442687678, 0.6557978553433274, 0.38702503396967447, 0.37857589967084554]"
"[0.17879746330152216, 0.6578239575209833, 0.35306716307048186, 0.347056635341671]",stable,0.07470384736632349,23,"[0.1841216575774512, 0.6872366013433011, 0.3421507436998525, 0.4146439561803397]"
"[0.17955806248379774, 0.6620257637813144, 0.3515076745889634, 0.35671196689005225]",stable,0.1417027750458498,24,"[0.2678450782640577, 0.673357382962718, 0.4077772224892966, 0.4515297483771267]"
"[0.2712436554481993, 0.6168892519142826, 0.49634817827953787, 0.4492826153289851]",stable,0.3297299614076352,25,"[0.5317182466634353, 0.6839577354373317, 0.35564567018178145, 0.5780438576111859]"
"[0.5317182466634353, 0.6839577354373317, 0.35564567018178145, 0.5780438576111859]",stable,0.11186971947421422,26,"[0.5980523124162913, 0.6020183557691355, 0.38903987900989206, 0.5611503460676706]"
"[0.5648852795398633, 0.6429880456032336, 0.37234277459583676, 0.5695971018394282]",stable,0.1846648767718369,27,"[0.7421877713165298, 0.6453412333179683, 0.38086091375088005, 0.6204581570374614]"
"[0.6239861101320855, 0.6437724415081453, 0.3751821543141845, 0.5865507869054393]",stable,0.27581772460674314,28,"[0.8720281796757781, 0.6153084389500549, 0.4749373996434829, 0.6481075942575728]"
"[0.8720281796757781, 0.6153084389500549, 0.4749373996434829, 0.6481075942575728]",stable,0.1663457018807936,29,"[0.8612749958805185, 0.7576158448922848, 0.39201870111251114, 0.6688042901388584]"
"[0.8666515877781482, 0.6864621419211698, 0.433478050377997, 0.6584559421982157]",stable,0.11299224469883992,30,"[0.8014774551711069, 0.6075056902520714, 0.4016101466101712, 0.6940915318561998]"
"[0.8449268769091344, 0.660143324698137, 0.4228554157887217, 0.6703344720842104]",stable,0.08982115986808435,31,"[0.9062391061198051, 0.6992199318627128, 0.37927888517693886, 0.7000456831267095]"
"[0.8602549342118021, 0.669912476489281, 0.411961283135776, 0.6777622748448351]",stable,0.1228321494633444,32,"[0.7803726130972947, 0.6291293618690309, 0.3681318808944993, 0.6061922198204884]"
"[0.8442784699889007, 0.661755853565231, 0.4031954026875207, 0.6634482638399658]",stable,0.05467009020230453,33,"[0.8104325851196797, 0.648465285685182, 0.40587350223733776, 0.7041847760664026]"
"[0.8386374891773638, 0.6595407589185562, 0.4036417526124902, 0.6702376825443719]",stable,0.19945383060072475,34,"[0.7558557291194412, 0.608695049773797, 0.5607748637517983, 0.5950518461902851]"
"[0.8268115234548034, 0.6522770861835906, 0.42608933991810566, 0.6594968487795023]",stable,0.27033115469049507,35,"[0.6860012139439702, 0.5133019819005217, 0.6102610771831687, 0.6552446124221901]"
"[0.6860012139439702, 0.5133019819005217, 0.6102610771831687, 0.6552446124221901]",stable,0.1859894130105577,36,"[0.7775953270110745, 0.5922402897468652, 0.7147443649428102, 0.5600891273635022]"
"[0.7317982704775223, 0.5527711358236934, 0.6625027210629895, 0.6076668698928462]",stable,0.15823410103922741,37,"[0.6531920251588084, 0.4835537337688462, 0.75386695381036, 0.6833016314502712]"
"[0.7055961887046177, 0.5296986684720777, 0.692957465312113, 0.6328784570786546]",stable,0.1527267564512808,38,"[0.6175708086436587, 0.43965077871214986, 0.7694467725078787, 0.592657094151123]"
"[0.6835898436893779, 0.5071866960320958, 0.7120797921110544, 0.6228231163467717]",stable,0.25640503755961,39,"[0.6137718461679881, 0.38328555752444016, 0.8507705612463797, 0.46070473694083613]"
"[0.6137718461679881, 0.38328555752444016, 0.8507705612463797, 0.46070473694083613]",stable,0.42766462944877653,40,"[0.4249448072987, 0.5205614805808464, 0.4947079344383434, 0.42050384872940033]"
"[0.2968605140899494, 0.60083462335871, 0.4960748043060055, 0.4444861542290543]",stable,0.09064831446692631,41,"[0.30060481392782756, 0.571455384652688, 0.512337007447097, 0.3603701734853735]"
"[0.29739541406678915, 0.5966375892578497, 0.4983979761833042, 0.43246958555138565]",stable,0.2178144052226605,42,"[0.1938424795471358, 0.44388546642702265, 0.4425996874808559, 0.331112568905157]"
"[0.29739541406678915, 0.5966375892578497, 0.4983979761833042, 0.43246958555138565]",stable,0.19722970955337904,43,"[0.26817419030136025, 0.5083072365721094, 0.32487393280318344, 0.44399493047410626]"
"[0.2937427610961105, 0.5855962951721322, 0.4767074707607891, 0.4339102536667257]",stable,0.1471188652549519,44,"[0.275585990403339, 0.5158364858460962, 0.34980948047372046, 0.41534250593543276]"
"[0.29172534213024703, 0.5778452052470171, 0.46260769406222596, 0.4318471705854709]",stable,0.1968484337874839,45,"[0.3431020614520742, 0.44246262652095464, 0.40353619862944606, 0.31229862646581974]"
"[0.29172534213024703, 0.5778452052470171, 0.46260769406222596, 0.4318471705854709]",stable,0.20621765625734084,46,"[0.3244342227343213, 0.385803875615416, 0.4139819811316849, 0.38482038420555176]"
"[0.29172534213024703, 0.5778452052470171, 0.46260769406222596, 0.4318471705854709]",stable,0.23500032199503576,47,"[0.2620953800633242, 0.4048442326097682, 0.5830789899664115, 0.3323255798856874]"
"[0.2450241584794132, 0.4218116901041955, 0.6767822591846698, 0.3439558783112862]",stable,0.1525413903172678,48,"[0.36548783421063663, 0.4105269602380738, 0.6062756422503286, 0.40444431050761953]"
"[0.2751400774122191, 0.4189905076376651, 0.6591556049510845, 0.3590779863603696]",stable,0.07861229150237047,49,"[0.31392446142041897, 0.3658833279062031, 0.7020939773672227, 0.3624820380023649]"
"[0.2828969542138591, 0.4083690716913727, 0.6677432794343121, 0.35975879668876865]",stable,0.18606977835437724,50,"[0.24820046890779002, 0.25073897400361106, 0.7299112880070132, 0.42835914171198325]"
"[0.2771142066628476, 0.3820973887434125, 0.678104614196429, 0.3711921875259711]",stable,0.20692815037550177,51,"[0.23809778870056178, 0.3861922588929606, 0.8811935800209534, 0.3652691354409402]"
"[0.23809778870056178, 0.3861922588929606, 0.8811935800209534, 0.3652691354409402]",stable,0.12486237411349543,52,"[0.3535829427552279, 0.34638726480022136, 0.8956933364837139, 0.3866960150557175]"
"[0.29584036572789485, 0.366289761846591, 0.8884434582523336, 0.37598257524832884]",stable,0.09428505281660975,53,"[0.32852768979296076, 0.3071064900517362, 0.8601506409491675, 0.31666928113307796]"
"[0.30673614041625014, 0.3465620045816394, 0.8790125191512782, 0.35621147720991186]",stable,0.16290399291975846,54,"[0.2411665494106689, 0.3082118104509837, 0.9051489832606652, 0.21449172735633196]"
"[0.29034374266485485, 0.33697445604897547, 0.885546635178625, 0.3207815397465169]",stable,0.16687987153010253,55,"[0.37723848749522143, 0.2373124857456061, 0.8860550772023494, 0.42259228576444885]"
"[0.3077226916309282, 0.3170420619883016, 0.8856483235833699, 0.3411436889501033]",stable,0.14273922143942624,56,"[0.2647637045667498, 0.25031995384138805, 0.7753595150817456, 0.38488782880079575]"
"[0.3005628604535651, 0.3059217106304827, 0.8672668554997657, 0.3484343789252187]",stable,0.28201863418923345,57,"[0.534482377606251, 0.31464733230855385, 0.8263380373649036, 0.5003055904744441]"
"[0.29172534213024703, 0.5778452052470171, 0.46260769406222596, 0.4318471705854709]",stable,0.41715454937152807,58,"[0.5984516255101631, 0.3843640232503213, 0.6462062496133731, 0.5256208756311811]"
"[0.666562200053535, 0.4826221614757409, 0.6989050836115182, 0.6033826682036535]",stable,0.22330670577846937,59,"[0.5952675570024101, 0.3467250213743911, 0.6660826828030267, 0.44451915434573386]"
"[0.29172534213024703, 0.5778452052470171, 0.46260769406222596, 0.4318471705854709]",stable,0.4613084376796595,60,"[0.5776215539131729, 0.2992847123103563, 0.6937687810952078, 0.42572880648749056]"
"[0.29172534213024703, 0.5778452052470171, 0.46260769406222596, 0.4318471705854709]",stable,0.4072448655099682,61,"[0.5435763978447804, 0.4641771580283854, 0.7267098901586956, 0.5723784172113793]"
"[0.6460645663520759, 0.47954799423451494, 0.7035392180360477, 0.5982152930382745]",stable,0.15863800809983591,62,"[0.5339764250487241, 0.5059183145545727, 0.7949460912437762, 0.5386195219664338]"
"[0.5145252964738184, 0.5691581202083488, 0.8453882910680471, 0.5977799008456784]",stable,0.08536341619080261,63,"[0.5481927076746357, 0.5783233522559675, 0.7712180645859753, 0.6216167268070084]"
"[0.5193349266453637, 0.5704674390722942, 0.8347925444277511, 0.6011851616972971]",stable,0.09099775550604047,64,"[0.5098307500738349, 0.48407333437849004, 0.8599530879748879, 0.6108426902322253]"
"[0.5181469045739227, 0.5596681759855687, 0.8379376123711432, 0.602392352764163]",stable,0.10507620779832182,65,"[0.5425659741420206, 0.619842623616846, 0.9201499324182798, 0.6104477094565975]"
"[0.5208601345259335, 0.5663542257223774, 0.8470723145986028, 0.6032873923966557]",stable,0.19234417826123892,66,"[0.4110248064603227, 0.479895496207763, 0.9512308059804122, 0.5219954470176996]"
"[0.5098766017193724, 0.5577083527709159, 0.8574881637367838, 0.5951581978587601]",stable,0.14613383172523392,67,"[0.41193274156519827, 0.5947106499941313, 0.9003836946639345, 0.5026763052554983]"
"[0.5009726144326293, 0.5610721979730264, 0.8613877574574339, 0.5867507530766454]",stable,0.20767152851863427,68,"[0.3699686332150941, 0.4332524121574269, 0.9461270797717671, 0.5372859143507038]"
"[0.3699686332150941, 0.4332524121574269, 0.9461270797717671, 0.5372859143507038]",stable,0.284637511040445,69,"[0.5656119480546707, 0.5374628122801621, 0.7747039137496862, 0.587250869140108]"
"[0.5063592255677994, 0.5591047491652877, 0.8541641038151216, 0.5867924294152673]",stable,0.15166478519337576,70,"[0.5019265560988841, 0.43945733919580093, 0.8722716040362851, 0.4954733501795114]"
"[0.5060182509932676, 0.549901102244558, 0.8555569884475188, 0.5797678848586707]",stable,0.14540245648497221,71,"[0.45484135257051744, 0.4357779445848323, 0.8984505741257428, 0.5192795007413048]"
"[0.5060182509932676, 0.549901102244558, 0.8555569884475188, 0.5797678848586707]",stable,0.18981384175041327,72,"[0.6140018710201187, 0.46154181323147075, 0.8137317951472522, 0.4580628250770633]"
"[0.6460645663520759, 0.47954799423451494, 0.7035392180360477, 0.5982152930382745]",stable,0.26239087128743227,73,"[0.4580183428720777, 0.4789502286970359, 0.8569842565534097, 0.4985064669462182]"
"[0.5060182509932676, 0.549901102244558, 0.8555569884475188, 0.5797678848586707]",stable,0.10198667421006645,74,"[0.4384209903462282, 0.6178076959926005, 0.8216648443614305, 0.5712879577226277]"
"[0.5011898752327648, 0.5547515732265611, 0.8531361210127982, 0.5791621757775248]",stable,0.09776307868109545,75,"[0.43166883309605764, 0.5614436689797252, 0.9172719192873425, 0.5553659683580706]"
"[0.49655513909031773, 0.5551977129434388, 0.8574118408977679, 0.5775757619495612]",stable,0.15355162066407693,76,"[0.48132540843141314, 0.5870731670732972, 0.7103200538072548, 0.6039218642638746]"
"[0.39522926934480457, 0.5685383231468989, 0.7286670217370563, 0.5625413201858551]",stable,0.23806003888969623,77,"[0.6019194071990139, 0.5532726974951596, 0.616772074411077, 0.5971570747832762]"
"[0.6397581150444955, 0.4900800947003213, 0.6911439118039091, 0.5980641190018462]",stable,0.2972379252996854,78,"[0.6735147138217231, 0.6250280568022558, 0.4548501717994702, 0.712803790583667]"
"[0.6363682610544948, 0.6390863453316729, 0.39509915868550594, 0.6181140378249962]",stable,0.14530921493984145,79,"[0.7187650976282621, 0.7231159523808395, 0.47328249477966583, 0.6520539901735073]"
"[0.8133057202264857, 0.6611319444582466, 0.43198848427580067, 0.6585664914537529]",stable,0.211846475993537,80,"[0.6073816598317793, 0.6431251250546423, 0.4778460695615594, 0.6517074049137771]"
"[0.6305709408099517, 0.6398941012762667, 0.41164854086071667, 0.6248327112427524]",stable,0.1383238811535458,81,"[0.5947147657333651, 0.7533106525917015, 0.37270560705079264, 0.5659432843458412]"
"[0.6245949116305206, 0.6587968598288391, 0.405158051892396, 0.6150178067599339]",stable,0.23980988812544535,82,"[0.42248689774119164, 0.6860810340023091, 0.42138014602206236, 0.4899036562166424]"
"[0.3048014976913415, 0.5886687881225463, 0.4584849392582096, 0.4376528191485881]",stable,0.14516533671790194,83,"[0.3470081072945014, 0.6285339561260128, 0.5706895532507453, 0.5091543580765703]"
"[0.3086384622007197, 0.5922928943046796, 0.4686853587120765, 0.44415295905113195]",stable,0.24275291118379208,84,"[0.4870316328450728, 0.6257628674996231, 0.5983726041637824, 0.5398913098680305]"
"[0.40834389270198573, 0.576713258054431, 0.7100535335123029, 0.559305604426166]",stable,0.11650851683075773,85,"[0.46615813279048374, 0.6631716546466926, 0.6763156666914056, 0.5995355701005618]"
"[0.415570672713048, 0.5875205576284637, 0.7058363001596908, 0.5643343501354654]",stable,0.11119232410929203,86,"[0.5163000382766596, 0.5610082735955362, 0.7431419516804567, 0.5754120310275426]"
"[0.4267628244423382, 0.5845747482914718, 0.709981372550887, 0.5655652035679184]",stable,0.12989541020145284,87,"[0.48782351221039194, 0.6734002163406271, 0.6722611638361293, 0.5036650252074357]"
"[0.43286889321914357, 0.5934572950963873, 0.7062093516794112, 0.5593751857318702]",stable,0.17419023814229184,88,"[0.4028059137231857, 0.6033401590569605, 0.5419931448286865, 0.5106532939850305]"
"[0.31648574982759187, 0.593213499700703, 0.4747943408884607, 0.44969465362895683]",stable,0.07088120875719384,89,"[0.2896028212719697, 0.5990437557261441, 0.48324017193013213, 0.3849171115341262]"
"[0.31441783224639014, 0.5936619809334293, 0.47544402019935844, 0.44471176577550836]",stable,0.09935444029538487,90,"[0.2830977826631466, 0.5340232477406831, 0.4301743912875954, 0.3874034635683406]"
"[0.312180685847587, 0.5894020714196617, 0.47221047527708965, 0.44061831561785353]",stable,0.08607763115407761,91,"[0.28738893133037235, 0.5825297958588047, 0.4691333322776746, 0.35853280829389045]"
"[0.3105279022131061, 0.5889439197156047, 0.472005332410462, 0.4351459484629227]",stable,0.19784847207129827,92,"[0.16633488844754346, 0.5710136028438354, 0.38977940549512247, 0.3289866654870909]"
"[0.17790516572926596, 0.6506492436641295, 0.3562916409522333, 0.35324630421468206]",stable,0.19626648785720524,93,"[0.2963579603099593, 0.6202611671648975, 0.3233675772078454, 0.5031864274141075]"
"[0.3096422808441594, 0.5909012476811855, 0.46271547271029845, 0.43939847839737173]",stable,0.20569762563115707,94,"[0.4346156676007298, 0.631781473966525, 0.3382714118561504, 0.5370491241191326]"
"[0.4346156676007298, 0.631781473966525, 0.3382714118561504, 0.5370491241191326]",stable,0.22367218773453024,95,"[0.5961565343210135, 0.6053377915246739, 0.45480606380020216, 0.6353049254766288]"
"[0.6205322863005911, 0.6511598500711012, 0.4122506250220826, 0.6179159665766046]",stable,0.1554375519917209,96,"[0.7512548578811552, 0.7039628033192838, 0.47012470732899725, 0.587340149760926]"
"[0.8064111799658934, 0.6658909287761396, 0.4362258423928225, 0.6506524534878833]",stable,0.06965973946986714,97,"[0.7555897830448803, 0.6364002477077253, 0.47359740375607445, 0.6488273372175121]"
"[0.801329040273792, 0.6629418606692983, 0.43996299852914766, 0.6504699418608462]",stable,0.04694194648088058,98,"[0.8324822064020642, 0.6734552951463273, 0.4065397878893235, 0.6481497553120324]"
"[0.8041611462854532, 0.6638976274399373, 0.4369245248346182, 0.650259015810954]",stable,0.13007402870036364,99,"[0.8320857300388466, 0.7780254985018392, 0.3891944625809617, 0.6213429170304701]"
"[0.8064881949315693, 0.6734082833617624, 0.4329470196468135, 0.6478493409125803]",stable,0.10405078256060964,100,"[0.8423177436107665, 0.6478267981949569, 0.4803251613028252, 0.7293582858376847]"
"[0.8092443140607384, 0.6714404768104697, 0.4365914920818913, 0.654119259752973]",stable,0.19051562032902114,101,"[0.8317714343205651, 0.779680590540479, 0.35645182889569693, 0.786974228069062]"
"[0.8108533940792974, 0.6791719135054705, 0.43086723042573455, 0.6636089003469793]",stable,0.25127279565785704,102,"[1.0, 0.7510248328000364, 0.4861597253822661, 0.8019616281723609]"
"[1.0, 0.7510248328000364, 0.4861597253822661, 0.8019616281723609]",stable,0.2716766197037845,103,"[0.7954463162537261, 0.774007825678073, 0.40361237055445465, 0.6450422462949026]"
"[0.8098262555575926, 0.6854943076503106, 0.4290502397676492, 0.6623711234101742]",stable,0.26481806182831746,104,"[1.0, 0.721206535481359, 0.48154919292987514, 0.8353770467060955]"
"[0.8098262555575926, 0.6854943076503106, 0.4290502397676492, 0.6623711234101742]",stable,0.1541878798817791,105,"[0.925046776793068, 0.6430422191788817, 0.39983362036609604, 0.7509281283494903]"
"[0.8170275381348098, 0.6828410521208463, 0.42722420105505216, 0.6679059362188815]",stable,0.2102371098629073,106,"[0.8847608709849232, 0.7019568158151054, 0.4591638456508157, 0.8634213695381094]"
"[0.8170275381348098, 0.6828410521208463, 0.42722420105505216, 0.6679059362188815]",stable,0.22016119291566305,107,"[0.9824132554689531, 0.7290611714506263, 0.46151841679640515, 0.8013455206897014]"
"[0.8170275381348098, 0.6828410521208463, 0.42722420105505216, 0.6679059362188815]",stable,0.19227601786340814,108,"[0.9103685493467094, 0.6786691031092449, 0.3077265298899208, 0.7860601748178603]"
"[0.8170275381348098, 0.6828410521208463, 0.42722420105505216, 0.6679059362188815]",stable,0.19070775859760064,109,"[0.9560383416061491, 0.7768035390214237, 0.37210754055055223, 0.7398687773097106]"
"[0.9555968362344558, 0.7264536662796326, 0.4280375418666391, 0.8046724195389731]",stable,0.1090655918353073,110,"[0.9688183721437794, 0.7566726002196059, 0.3783823989418096, 0.7133396372358449]"
"[0.9574856270786449, 0.7307706568424859, 0.4209439500202349, 0.7916248792099548]",stable,0.3249672854933202,111,"[0.8155017816163551, 0.547609273991394, 0.5402109589010181, 0.5975331156202944]"
"[0.8169377877513713, 0.6748862416426433, 0.4338704809283443, 0.6637663585366117]",stable,0.2609278793030687,112,"[0.5931234562351742, 0.5810656746300445, 0.5290253754736762, 0.6753314117165945]"
"[0.617106182542414, 0.6423980781409692, 0.42684746882853175, 0.6250928972191034]",stable,0.17252931910737349,113,"[0.6744409896562316, 0.5311659736075325, 0.5349875840732452, 0.5759785384143918]"
"[0.6440934743709625, 0.49521582956372273, 0.6716243708375761, 0.5953034214284143]",stable,0.17930935640286225,114,"[0.5569784358370888, 0.4446170084819262, 0.7810784914514892, 0.49519163320835663]"
"[0.6440934743709625, 0.49521582956372273, 0.6716243708375761, 0.5953034214284143]",stable,0.13774088700055165,115,"[0.5088373819911657, 0.5024000740153295, 0.6963582005625036, 0.5914348655422413]"
"[0.43977511947114556, 0.5851793659072002, 0.7053137924869651, 0.5622897020782675]",stable,0.23028879233028096,116,"[0.5745538732117401, 0.4814937772356278, 0.842404667538927, 0.6352486363659086]"
"[0.5014300599729067, 0.5505912169617005, 0.8564738925628403, 0.5811803166005829]",stable,0.0875900500329389,117,"[0.511064055967875, 0.6015465321535653, 0.7952451476170802, 0.5460548325184177]"
"[0.5019967656196695, 0.553588588443575, 0.852872201683678, 0.5791141116545733]",stable,0.10582503944884697,118,"[0.4287527065499372, 0.4887659016174766, 0.8309472738875958, 0.6130488077504826]"
"[0.49792765122690663, 0.5499873280643472, 0.8516541501394512, 0.5809993725487904]",stable,0.07893443579704973,119,"[0.48259932615054374, 0.5907894836985483, 0.8274001765360002, 0.6421763001031997]"
"[0.4971208972755191, 0.5521348099398316, 0.8503776252129537, 0.5842192108411277]",stable,0.2699723302885317,120,"[0.6374962975282301, 0.48385905845995325, 0.6405241292080398, 0.6511500564930743]"
"[0.6433604547217701, 0.4939539661077484, 0.6681687884342943, 0.6015086031022654]",stable,0.13763889089159137,121,"[0.7139914883754448, 0.6072040392873342, 0.675730798642344, 0.5687525609525693]"
"[0.6504235580871376, 0.505278973425707, 0.6689249894550993, 0.5982329988872959]",stable,0.21759885946984792,122,"[0.6542441610072276, 0.6248352626440932, 0.4933750582347905, 0.6453836297715173]"
"[0.6212326245940599, 0.6404466541968719, 0.434239423207005, 0.6273474230582605]",stable,0.3304533215309512,123,"[0.8716227219527519, 0.5386398792596054, 0.5751476202102757, 0.754957992564486]"
